Category,Subcategory,Product,Price of the Commodity,Firm Goals,Price of Inputs or Factors,Technology,Government Policy,Expectations,Prices of other Commodities,Number of Firms,Natural Factors,Supply_Demand
Toys and Games,Board Games,Risk,1499,Medium,42,Basic,Unfavorable,Negative,1443,5,Average,Low
Toys and Games,Action Figures,Marvel Legends Spider-Man,1499,Medium,73,Basic,Unfavorable,Positive,1504,6,Optimal,Low
Toys and Games,Action Figures,Star Wars Darth Vader,1799,Low,33,Advanced,Favorable,Positive,1898,9,Poor,Stable
Toys and Games,Action Figures,Transformers Optimus Prime,2199,Low,38,Basic,Neutral,Negative,2292,8,Optimal,Stable
Toys and Games,Action Figures,GI Joe Duke,1299,High,8,Advanced,Neutral,Positive,1274,7,Optimal,Stable
Furniture and Home Décor,Living Room Furniture,Ikea Sofa,25999,Medium,42,Advanced,Favorable,Positive,25933,7,Average,Stable
Furniture and Home Décor,Living Room Furniture,Wayfair Coffee Table,8999,High,97,Moderate,Neutral,Neutral,9045,1,Poor,Low
Furniture and Home Décor,Living Room Furniture,Ashley Recliner,16999,Low,45,Basic,Unfavorable,Positive,17044,9,Average,Stable
Furniture and Home Décor,Living Room Furniture,La-Z-Boy Armchair,18999,High,94,Advanced,Favorable,Negative,18963,1,Average,Low
Furniture and Home Décor,Bedroom Furniture,Tempur-Pedic Mattress,49990,Medium,60,Basic,Neutral,Positive,50084,9,Poor,Stable
Furniture and Home Décor,Bedroom Furniture,Pottery Barn Bed Frame,34999,Medium,49,Moderate,Favorable,Negative,35015,7,Poor,Stable
Furniture and Home Décor,Bedroom Furniture,West Elm Nightstand,9999,High,52,Basic,Unfavorable,Positive,9960,9,Poor,Stable
Furniture and Home Décor,Bedroom Furniture,Crate & Barrel Dresser,20999,Medium,12,Moderate,Neutral,Positive,20985,5,Optimal,Low
Furniture and Home Décor,Home Decor,Urban Outfitters Wall Art,2499,Medium,70,Moderate,Favorable,Positive,2467,8,Average,Stable
Furniture and Home Décor,Home Decor,Anthropologie Throw Pillow,1599,Low,87,Moderate,Favorable,Positive,1561,1,Poor,Low
Furniture and Home Décor,Home Decor,Target Vase,799,Low,1,Basic,Favorable,Neutral,833,2,Optimal,Low
Furniture and Home Décor,Home Decor,Pier 1 Candle,599,High,99,Basic,Neutral,Positive,671,7,Poor,Stable
Automotive Parts and Accessories,Car Parts,Bosch Spark Plugs,499,Medium,99,Moderate,Favorable,Neutral,546,6,Poor,Low
Automotive Parts and Accessories,Car Parts,Michelin Tires,6999,High,22,Moderate,Favorable,Positive,7013,2,Poor,Low
Automotive Parts and Accessories,Car Parts,Denso Oxygen Sensor,2999,Medium,78,Advanced,Unfavorable,Neutral,2927,1,Average,Low
Automotive Parts and Accessories,Car Parts,ACDelco Battery,4999,Low,69,Basic,Unfavorable,Positive,4906,3,Poor,Low
Automotive Parts and Accessories,Car Accessories,WeatherTech Floor Mats,9999,High,3,Moderate,Unfavorable,Neutral,9991,2,Poor,Low
Automotive Parts and Accessories,Car Accessories,Garmin GPS,21999,High,9,Moderate,Unfavorable,Neutral,21963,6,Poor,Stable
Automotive Parts and Accessories,Car Accessories,Pioneer Car Stereo,12999,Low,15,Basic,Favorable,Neutral,12900,10,Optimal,Stable
Automotive Parts and Accessories,Car Accessories,Thule Roof Rack,15999,Medium,6,Moderate,Neutral,Positive,16077,4,Average,Low
Automotive Parts and Accessories,Motorcycle Parts,K&N Air Filter,2999,Low,32,Advanced,Unfavorable,Negative,2969,3,Poor,Low
Automotive Parts and Accessories,Motorcycle Parts,Bridgestone Tires,7999,Medium,92,Advanced,Neutral,Neutral,8056,2,Average,Low
Automotive Parts and Accessories,Motorcycle Parts,NGK Spark Plugs,799,High,69,Advanced,Favorable,Neutral,837,10,Optimal,Stable
Automotive Parts and Accessories,Motorcycle Parts,Yoshimura Exhaust,21999,Low,65,Moderate,Favorable,Positive,21922,1,Optimal,Low
Groceries and Food Items,Fresh Produce,Bananas,50,Low,7,Moderate,Unfavorable,Negative,89,8,Poor,Stable
Groceries and Food Items,Fresh Produce,Apples,100,High,84,Moderate,Favorable,Negative,136,6,Poor,Low
Groceries and Food Items,Fresh Produce,Carrots,60,Medium,58,Moderate,Unfavorable,Positive,145,9,Average,Stable
Groceries and Food Items,Fresh Produce,Broccoli,80,Medium,43,Advanced,Unfavorable,Negative,54,7,Average,Stable
Groceries and Food Items,Packaged Foods,Kellogg's Corn Flakes,299,High,78,Advanced,Favorable,Neutral,216,3,Poor,Low
Groceries and Food Items,Packaged Foods,Oreo Cookies,159,High,6,Moderate,Favorable,Negative,170,4,Poor,Low
Groceries and Food Items,Packaged Foods,Lays Potato Chips,99,Medium,59,Basic,Neutral,Neutral,85,6,Optimal,Low
Groceries and Food Items,Packaged Foods,Barilla Pasta,199,Medium,35,Moderate,Unfavorable,Positive,226,1,Average,Low
Groceries and Food Items,Beverages,Coca-Cola,40,Low,46,Moderate,Favorable,Negative,113,1,Poor,Low
Groceries and Food Items,Beverages,Pepsi,35,Low,37,Basic,Unfavorable,Positive,13,1,Average,Low
Groceries and Food Items,Beverages,Starbucks Coffee,250,Low,9,Advanced,Neutral,Neutral,300,8,Optimal,Stable
Groceries and Food Items,Beverages,Lipton Tea,100,High,80,Moderate,Favorable,Positive,117,9,Average,Stable
